0	0	11	41
0	1	11	50
0	2	11	60
0	3	11	70
0	4	11	3
0	5	11	12
0	6	11	22
0	7	11	32
0	8	10	41
0	9	10	50
0	10	10	60
0	11	10	70
0	12	10	3
0	13	10	12
0	14	10	22
0	15	10	32
0	16	9	11
0	17	9	21
0	18	9	31
0	19	9	40
0	20	9	49
0	21	9	59
0	22	9	69
0	23	9	78
0	24	8	11
0	25	8	21
0	26	8	31
0	27	8	40
0	28	8	49
0	29	8	59
0	30	8	69
0	31	8	78
1	0	11	42
1	1	11	51
1	2	11	61
1	3	11	71
1	4	11	4
1	5	11	13
1	6	11	23
1	7	11	33
1	8	10	42
1	9	10	51
1	10	10	61
1	11	10	71
1	12	10	4
1	13	10	13
1	14	10	23
1	15	10	33
1	16	9	10
1	17	9	20
1	18	9	30
1	19	9	39
1	20	9	48
1	21	9	58
1	22	9	68
1	23	9	77
1	24	8	10
1	25	8	20
1	26	8	30
1	27	8	39
1	28	8	48
1	29	8	58
1	30	8	68
1	31	8	77
2	0	11	43
2	1	11	52
2	2	11	62
2	3	11	72
2	4	11	5
2	5	11	14
2	6	11	24
2	7	11	34
2	8	10	43
2	9	10	52
2	10	10	62
2	11	10	72
2	12	10	5
2	13	10	14
2	14	10	24
2	15	10	34
2	16	9	9
2	17	9	19
2	18	9	29
2	19	9	38
2	20	9	47
2	21	9	57
2	22	9	67
2	23	9	76
2	24	8	9
2	25	8	19
2	26	8	29
2	27	8	38
2	28	8	47
2	29	8	57
2	30	8	67
2	31	8	76
3	0	11	44
3	1	11	54
3	2	11	63
3	3	11	73
3	4	11	6
3	5	11	16
3	6	11	25
3	7	11	35
3	8	10	44
3	9	10	54
3	10	10	63
3	11	10	73
3	12	10	6
3	13	10	16
3	14	10	25
3	15	10	35
3	16	9	8
3	17	9	18
3	18	9	27
3	19	9	37
3	20	9	46
3	21	9	56
3	22	9	65
3	23	9	75
3	24	8	8
3	25	8	18
3	26	8	27
3	27	8	37
3	28	8	46
3	29	8	56
3	30	8	65
3	31	8	75
4	0	11	45
4	1	11	55
4	2	11	64
4	3	11	74
4	4	11	7
4	5	11	17
4	6	11	26
4	7	11	36
4	8	10	45
